carVIN,scrapeURL_Model_Year,listingDateDiff,vehicleHistUseType,vehicleHistTitleStatus,vehicleHistNumOwners,vehicleHistAccidents,transmissionType,fuelType,driveType,engineInfo,mileage,interiorColor,exteriorColor,style,location_state,car_location_latitude,car_location_longitude,mileageRating_HWY,mileageRating_CTY,monthlyPayment_USD,allFeatures,listPrice_USD,Price_Difference_Pct
5YFEPMAE9MP247872,2021,-31,Fleet Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,37731,Black,Super White,Sedan, PA,40.1514065,-74.9886785,38,30,364,front wheel drive power steering abs 4 wheel disc brakes brake assist steel wheels tires front performance tires rear performance wheel covers temporary spare tire power mirror s rear defrost intermittent wipers variable speed intermittent wipers daytime running lights automatic headlights led headlights automatic highbeams,21989,0.973213879667106
5YFEPMAE9MP248679,2021,-26,Rental Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,39831,Black,Super White,Sedan, MA,42.3718183,-71.0281505,38,30,330,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,19900,0
5YFEPMAE9MP249850,2021,-14,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,30363,Black,Blueprint,Sedan, CA,33.6783336,-118.000016,38,30,399,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,24095,4.29964722971571
5YFEPMAE9MP251727,2021,-22,Rental Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,35722,Black,Super White,Sedan, MA,42.3718183,-71.0281505,38,30,335,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,20200,0
5YFEPMAE9NP272739,2022,-29,Rental Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,42066,Black,Classic Silver Metallic,Sedan, AZ,33.4484367,-112.074141,38,30,363,air conditioning tachometer 6 speakers am fm radio siriusxm radio data system radio audio automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags,21888,-0.584795321637427
5YFEPMAE9NP273468,2022,-37,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,41160,Black,Black Sand Pearl,Sedan, GA,34.1206564,-84.0043513,38,30,356,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,21477,0.852074312054756
5YFEPMAE9NP273583,2022,-35,Rental Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,46866,Black,Classic Silver Metallic,Sedan, GA,33.5870558,-84.5424299,38,30,364,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,21977,1.73818082540838
5YFEPMAE9NP274152,2022,-13,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,37392,Black,Classic Silver Metallic,Sedan, NV,36.0319602,-114.9822716,38,30,396,lane keeping assist bluetooth connection black premium fabric seat trim classic silver metallic,23878,0.561186028980652
5YFEPMAE9NP274684,2022,-28,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,40748,Black,Classic Silver Metallic,Sedan, AZ,33.4484367,-112.074141,38,30,363,air conditioning tachometer 6 speakers am fm radio siriusxm radio data system radio audio automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags,21888,-0.986842105263158
5YFEPMAE9NP275303,2022,-15,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,35252,Black,Classic Silver Metallic,Sedan, CO,39.6482059,-104.9879641,38,30,376,lane keeping assist bluetooth connection black premium fabric seat trim classic silver metallic 50 state emissions,22698,0.268746145034805
5YFEPMAE9NP275317,2022,-13,Rental Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,44078,Unknown,Unknown,Sedan, MS,32.3528055,-90.8777342,38,30,381,front wheel drive power steering abs 4 wheel disc brakes brake assist steel wheels tires front performance tires rear performance wheel covers temporary spare tire power mirror s rear defrost intermittent wipers variable speed intermittent wipers daytime running lights automatic headlights led headlights automatic highbeams,22997,0
5YFEPMAE9NP279528,2022,-10,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,7679,Black,Classic Silver Metallic,Sedan, IN,37.970495,-87.5715641,38,30,408,air conditioning tachometer 6 speakers am fm radio siriusxm radio data system radio audio automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags,24650,0
5YFEPMAE9NP294658,2022,-92,Fleet Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,37899,Light Gray,Classic Silver Metallic,Sedan, VA,38.636447,-77.2676335,38,30,348,gas engine type regular unleaded fuel type 139 horsepower 6100 horsepower rpm 126 torque 3900 torque rpm 1 8 engine displacement inline engine configuration 4 cylinders variable valvetrain double overhead valvetrain 16 number of valves 10 69 compression ratio 30 epa city fuel economy 38 epa highway fuel economy 33 epa combined fuel economy automatic transmission type continuously variable,20997,-2.4289184169167
5YFEPMAE9NP299455,2022,-252,Personal Use,Clean,2,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,5843,Unknown,Unknown,Sedan, NC,35.9803138,-78.5103731,38,30,403,a c climate control a c front abs brakes am fm stereo aux input adjustable steering wheel air bag driver,24299,-0.139923453640068
5YFEPMAE9NP299990,2022,,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,22601,Black,Blueprint,Sedan, FL,25.7741566,-80.1935973,38,30,351,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,21199,0
5YFEPMAE9NP315542,2022,-38,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,27474,Light Gray,Black Sand Pearl,Sedan, FL,28.7007225,-81.349278,38,30,334,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,20133,-2.45864997764864
5YFEPMAE9NP331627,2022,-14,Frame Damage,Clean,1,2,Automatic,Gas,FWD,1.8L Inline-4 Gas,10049,White,Black Sand Pearl,Sedan, VA,38.5674096,-77.3267652,38,30,331,abs brakes air conditioning am fm radio child safety door locks cruise control daytime running lights driver airbag electronic brake assistance front side airbag front side airbag with head protection heated exterior mirror keyless entry locking pickup truck tailgate passenger airbag power door locks power windows separate driver front passenger climate controls steel wheels,19997,1.36520478071711
5YFEPMAE9NP333295,2022,-16,Frame Damage,Clean,1,1,Automatic,Gas,FWD,1.8L Inline-4 Gas,3432,Black,Blueprint,Sedan, OH,41.39311,-81.536509,38,30,378,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,22833,2.43507204484737
